Label,Notation,Parent Notation,Sort Priority
Dementia and alzheimers disease,dementia-and-alzheimer-s-disease,,1
Symptoms signs and ill defined conditions,symptoms-signs-and-ill-defined-conditions,,2
No other pre existing condition,no-other-pre-existing-condition,,3
Ischaemic heart diseases,ischaemic-heart-diseases,,4
Chronic lower respiratory diseases,chronic-lower-respiratory-diseases,,5
Influenza and pneumonia,influenza-and-pneumonia,,6
Cerebrovascular diseases,cerebrovascular-diseases,,7
Diseases of the urinary system,diseases-of-the-urinary-system,,8
Parkinsons disease,parkinson-s-disease,,9
Diabetes,diabetes,,10
Heart failure and complications and ill defined heart disease,heart-failure-and-complications-and-ill-defined-heart-disease,,11
Cardiac arrhythmias,cardiac-arrhythmias,,12
Hypertensive diseases,hypertensive-diseases,,13
Malignant neoplasm of prostate,malignant-neoplasm-of-prostate,,14
Malignant neoplasm of trachea bronchus and lung,malignant-neoplasm-of-trachea-bronchus-and-lung,,15
